Years & Months,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,,,,,,
2000-08,4.8,24.1,30.1,19.4,2.3,28.2,30.8,10.9,4.7,1.8,2.1,0,0,0,0,4.9,4.2,0.1,0,0,0,0,0.3,41.3,33.4,11.9,13,27.4,0,0,0,,,,,,
2000-09,0,0,0,0,0,0.4,0,0.6,0,0,7.2,0.6,0,0,12.8,4.6,10.8,19.2,47,47.1,15.9,0.1,15.8,7.6,78.7,24.9,4.4,0.2,2.4,0.1,,,,,,,
2000-10,20.6,67.4,49.6,1.4,15.1,0,0,1.8,0,0,0.3,7.2,0.4,0,0,0,0,1.1,0,0,0,10.2,6.6,0,0,0.1,0,0,0,0,0,,,,,,
2000-11,0,0,0,0,0,0,6.3,4,0,15.1,0.1,19.8,0,1.8,0,0,0,0,6.7,0,0.1,18.4,0,0,0,0.1,0,0,0,0,,,,,,,
2000-12,0,0,0,0,0.2,0.5,12.9,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2001-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,85,2.7,0,0.3,0,0,61.2,,,,,,
2001-02,14.2,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2001-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2001-04,0,0,0,0,0,0,5.6,0,7.8,3.1,25.6,0.2,2.3,1,2.6,0,0,3.6,4,2.3,9.8,0,0,0,0,6.6,2.1,54.8,13.2,20.6,,,,,,,
2001-05,17.2,4.1,0.8,0.2,0,0,0,0,0,0,0,0,89.4,0.4,0,0.1,10,0,0,9.8,0.2,0.3,0.7,0,6.7,7.6,2.5,2.7,52.4,0.5,2.6,,,,,,
2001-06,0.1,0.2,0,41,0,11.5,11.1,14,24.4,24.1,19.3,16.8,3.5,1.2,0,0,0,0,0,0,0,5.3,1.2,0,0.2,5,0.7,7.2,0.3,0,,,,,,,
2001-07,3.8,2.8,17.1,11.7,0,4.6,21.3,17.7,17.1,15.5,0,0,2.4,0,0.2,0,0,0,1.7,0,0,0,0,6.2,4.6,13.8,1,10.6,0,0,0,,,,,,
2001-08,0.1,4.6,7.7,11.4,0,0.1,0,1.4,5.2,0.9,1.4,6.3,2.3,18.6,0,0,0,0,2.3,0.6,0,0,1.5,0.3,32.5,0,0,12.9,0.6,2.8,11.7,,,,,,
2001-09,1.5,0.7,0,0,0,0,0.1,0,0,0,0,3.5,1.8,0,2.3,1.4,0,0.1,0.2,0,74.7,49.1,32.4,69.9,1.7,1.2,25.2,18.9,39.3,9.2,,,,,,,
2001-10,5.9,11.4,12.3,0.1,0.4,0,4.8,2.1,6.9,0,19.5,1.3,0.1,2,4.1,1.2,8.8,18.7,0,0,0.2,9.8,0,10.4,0,0,0,0.5,0,0.8,3.2,,,,,,
2001-11,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,1.8,0,0,2.1,0,0,0,0,52,0,0.2,0,10.8,0,,,,,,,
2001-12,0,2.1,1.2,14.1,0,20.3,0,0,0,0,0,0,0,0,0,0,0,5.3,0.1,0,0,0,19.6,0,0,46.7,0.1,0,1.1,0,0,,,,,,
2002-01,9.4,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,2.7,0.6,,,,,,
2002-02,1.6,0,0,0,11.2,6.7,8.9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,,,,,,,,,
2002-03,2.4,7.3,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2002-04,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0,4.7,19.6,0.3,0,0.3,0,0,1.2,1.4,0,0,0.1,,,,,,,
2002-05,0,39.2,29.1,0.9,0.4,6.2,0,23.5,0,0,0,0,3.4,8.2,4.3,3,7.2,0.4,0.7,0.4,7,0,0.2,1.6,0,0,0,15.2,13.2,1.2,8.3,,,,,,
2002-06,10,4.8,2.3,0,3.8,1.4,10.8,0.1,5.6,10.7,27.1,61.9,1.4,1,0,0,0,0,0,0,0,1.6,24.7,0,0,0.2,0.1,0,0,0,,,,,,,
2002-07,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.2,0.1,1.1,6.1,33.3,0.9,0.6,0.1,0,0,0,0,0,0,0,0,87.9,,,,,,
